"";"B";"nu";"N";"Falsos_Cluster";"Cluster_Correto";"Nao_Cluster_Errado";"Nao_Cluster_Correto"
"1";100;0,01;70;83,3333333333333;16,6666666666667;16,9014084507042;83,0985915492958
"2";200;0,01;70;81,8181818181818;18,1818181818182;16,6666666666667;83,3333333333333
"3";500;0,01;70;81,8181818181818;18,1818181818182;16,6666666666667;83,3333333333333
"4";100;0,05;70;83,3333333333333;16,6666666666667;16,9014084507042;83,0985915492958
"5";200;0,05;70;81,8181818181818;18,1818181818182;16,6666666666667;83,3333333333333
"6";500;0,05;70;81,8181818181818;18,1818181818182;16,6666666666667;83,3333333333333
"7";100;0,1;70;83,3333333333333;16,6666666666667;16,9014084507042;83,0985915492958
"8";200;0,1;70;81,8181818181818;18,1818181818182;16,6666666666667;83,3333333333333
"9";500;0,1;70;81,8181818181818;18,1818181818182;16,6666666666667;83,3333333333333
"10";100;0,01;100;61,1111111111111;38,8888888888889;13;87
"11";200;0,01;100;61,1111111111111;38,8888888888889;13;87
"12";500;0,01;100;61,1111111111111;38,8888888888889;13;87
"13";100;0,05;100;61,1111111111111;38,8888888888889;13;87
"14";200;0,05;100;61,1111111111111;38,8888888888889;13;87
"15";500;0,05;100;61,1111111111111;38,8888888888889;13;87
"16";100;0,1;100;61,1111111111111;38,8888888888889;13;87
"17";200;0,1;100;61,1111111111111;38,8888888888889;13;87
"18";500;0,1;100;61,1111111111111;38,8888888888889;13;87
"19";100;0,01;300;21,4285714285714;78,5714285714286;11,7647058823529;88,2352941176471
"20";200;0,01;300;18,5185185185185;81,4814814814815;11,7283950617284;88,2716049382716
"21";500;0,01;300;18,5185185185185;81,4814814814815;11,7283950617284;88,2716049382716
"22";100;0,05;300;17,8571428571429;82,1428571428571;11,4551083591331;88,5448916408669
"23";200;0,05;300;19,2307692307692;80,7692307692308;12;88
"24";500;0,05;300;17,8571428571429;82,1428571428571;11,4551083591331;88,5448916408669
"25";100;0,1;300;14,8148148148148;85,1851851851852;11,4197530864198;88,5802469135803
"26";200;0,1;300;15,3846153846154;84,6153846153846;11,6923076923077;88,3076923076923
"27";500;0,1;300;19,2307692307692;80,7692307692308;12;88
"28";100;0,01;500;5,19480519480519;94,8051948051948;5,28375733855186;94,7162426614481
"29";200;0,01;500;3,94736842105263;96,0526315789474;5,2734375;94,7265625
"30";500;0,01;500;3,94736842105263;96,0526315789474;5,2734375;94,7265625
"31";100;0,05;500;5,19480519480519;94,8051948051948;5,28375733855186;94,7162426614481
"32";200;0,05;500;5,19480519480519;94,8051948051948;5,28375733855186;94,7162426614481
"33";500;0,05;500;3,94736842105263;96,0526315789474;5,2734375;94,7265625
"34";100;0,1;500;3,8961038961039;96,1038961038961;5,0880626223092;94,9119373776908
"35";200;0,1;500;4,05405405405405;95,9459459459459;5,6420233463035;94,3579766536965
"36";500;0,1;500;4;96;5,45808966861598;94,541910331384
"37";100;0,01;1000;5,05050505050505;94,9494949494949;5,4368932038835;94,5631067961165
"38";200;0,01;1000;3,09278350515464;96,9072164948454;5,42635658914729;94,5736434108527
"39";500;0,01;1000;4,08163265306122;95,9183673469388;5,43161978661494;94,5683802133851
"40";100;0,05;1000;4,08163265306122;95,9183673469388;5,43161978661494;94,5683802133851
"41";200;0,05;1000;5,05050505050505;94,9494949494949;5,4368932038835;94,5631067961165
"42";500;0,05;1000;4,08163265306122;95,9183673469388;5,43161978661494;94,5683802133851
"43";100;0,1;1000;4,08163265306122;95,9183673469388;5,43161978661494;94,5683802133851
"44";200;0,1;1000;4,08163265306122;95,9183673469388;5,43161978661494;94,5683802133851
"45";500;0,1;1000;4,08163265306122;95,9183673469388;5,43161978661494;94,5683802133851
